Entity_1	Entity_2	Predicted_class
molecules	PRMs	effect
PRMs	protein	no_relation
PRMs	role	no_relation
PRMs	protein	no_relation
molecules	influenza	effect
protein	influenza	effect
role	influenza	no_relation
protein	influenza	no_relation
ribavirin	thrombocytopenia	no_relation
thrombocytopenia	ribavirin	no_relation
infectious disease	ribavirin	effect
disease	ribavirin	no_relation
ribavirin	viral infection	no_relation
ribavirin	virus infection	effect
hepatitis	hexon	effect
hepatitis	hexon	effect
hepatitis	role	no_relation
hepatitis	hexon	no_relation
disease	role	no_relation
gastroenteritis	hexon	effect
gastroenteritis	hexon	effect
gastroenteritis	role	no_relation
gastroenteritis	hexon	no_relation
hexon	gastroenteritis	no_relation
hexon	gastroenteritis	no_relation
role	gastroenteritis	no_relation
gastroenteritis	hexon	effect
role	hepatitis	no_relation
hexon	gastroenteritis	no_relation
hexon	gastroenteritis	no_relation
role	gastroenteritis	no_relation
hexon	gastroenteritis	no_relation
hexon	hepatitis	no_relation
role	hepatitis	no_relation
diarrhea	amino acid	effect
diarrhea	rRNA	effect
Influenza	RNA	no_relation
influenza	RNA	no_relation
influenza	amino acid	effect
influenza	sialic acids	no_relation
influenza	galactose	no_relation
influenza	glycoproteins	no_relation
RNA	influenza	no_relation
amino acid	influenza	no_relation
influenza	sialic acids	no_relation
influenza	galactose	no_relation
influenza	glycoproteins	no_relation
RNA	influenza	no_relation
amino acid	influenza	no_relation
sialic acids	influenza	no_relation
galactose	influenza	no_relation
influenza	glycoproteins	no_relation
stomatitis	glycoproteins	effect
bronchitis	protein	effect
bronchitis	nucleus	no_relation
proteins	disease	no_relation
RNA	disease	no_relation
proteins	disease	no_relation
RNA	disease	no_relation
protein	disease	no_relation
protein	disease	no_relation
chronic obstructive pulmonary disease	role	no_relation
chronic obstructive pulmonary disease	role	no_relation
chronic obstructive pulmonary disease	ONE	no_relation
disease	role	no_relation
disease	role	effect
disease	ONE	effect
Molecules	liver cancer	no_relation
diarrhea	interferon	effect
diarrhea	antiviral	effect
diarrhea	role	effect
diarrhea	protein	effect
diarrhea	protein	effect
diarrhea	protein	effect
diarrhea	protein	effect
diarrhea	protein	effect
diarrhea	protein	effect
diarrhea	antiviral	effect
interferon	stomatitis	no_relation
antiviral	stomatitis	no_relation
role	stomatitis	no_relation
protein	stomatitis	no_relation
stomatitis	protein	effect
stomatitis	protein	effect
stomatitis	protein	effect
stomatitis	protein	effect
stomatitis	protein	effect
stomatitis	antiviral	effect
role	measles	no_relation
measles	scid	no_relation
measles	protein	no_relation
measles	scid	no_relation
measles	scid	no_relation
measles	HSC	no_relation
measles	HSC	no_relation
role	hepatitis C	no_relation
hepatitis C	scid	no_relation
hepatitis C	scid	no_relation
hepatitis C	scid	no_relation
hepatitis C	HSC	no_relation
hepatitis C	HSC	no_relation
role	measles	effect
scid	measles	effect
protein	measles	effect
scid	measles	effect
measles	scid	effect
measles	HSC	effect
measles	HSC	effect
role	virus infection	effect
scid	virus infection	effect
protein	virus infection	no_relation
scid	virus infection	effect
scid	virus infection	effect
virus infection	HSC	no_relation
virus infection	HSC	no_relation
disease	antigens	effect
disease	mRNA	effect
disease	carrier	effect
disease	mRNA	effect
pneumonia	fibrin	effect
pneumonia	cyclophosphamide	effect
fibrin	connective tissue disease	no_relation
connective tissue disease	cyclophosphamide	effect
fibrin	disease	no_relation
disease	cyclophosphamide	effect
fibrin	pneumonia	no_relation
pneumonia	cyclophosphamide	effect
SARS	RNA	effect
SARS	Protein	effect
mRNA	SARS	effect
RNA	SARS	no_relation
protein	SARS	no_relation
SARS	S-adenosyl-L-methionine	effect
SARS	RNA	effect
SARS	ribose	no_relation
SARS	protein	no_relation
SARS	SAM	no_relation
SARS	SAM	no_relation
SARS	drug	no_relation
SARS	RNA	effect
SARS	Protein	no_relation
mRNA	SARS	effect
RNA	SARS	effect
S-adenosyl-L-methionine	SARS	effect
RNA	SARS	effect
protein	SARS	effect
SAM	SARS	effect
SAM	SARS	effect
drug	SARS	effect
SARS	RNA	effect
SARS	Protein	effect
pet	disease	effect
herpes simplex	role	effect
herpes simplex	role	effect
herpes simplex	PFU	effect
cancer	ABC	no_relation
cancer	chondroitin sulfate	no_relation
cancer	glycans	no_relation
cancer	proteoglycans	no_relation
cancer	ABC	no_relation
cancer	chondroitin sulfate	no_relation
cancer	glycans	no_relation
cancer	proteoglycans	no_relation
cancer	ABC	no_relation
cancer	chondroitin sulfate	no_relation
cancer	glycans	no_relation
cancer	proteoglycans	no_relation
cancer	ABC	no_relation
cancer	chondroitin sulfate	no_relation
cancer	glycans	no_relation
cancer	proteoglycans	no_relation
Ethyl	Influenza	no_relation
Chloroform	Influenza	no_relation
antiviral	influenza	no_relation
influenza	EtOAc	no_relation
influenza	chloroform	no_relation
influenza	MeOH	no_relation
influenza	EtOAc	no_relation
influenza	Chloroform	no_relation
influenza	antiviral	no_relation
influenza	EtOAc	no_relation
influenza	chloroform	no_relation
influenza	baicalin	no_relation
influenza	MeOH	no_relation
influenza	baicalein	no_relation
influenza	chrysin	no_relation
influenza	EtOAc	no_relation
influenza	chloroform	no_relation
influenza	baicalein	no_relation
lipids	Middle East respiratory syndrome	effect
metabolites	Middle East respiratory syndrome	effect
add	Middle East respiratory syndrome	effect
lipid	Middle East respiratory syndrome	effect
Middle East respiratory syndrome	pathway	no_relation
Middle East respiratory syndrome	role	effect
Middle East respiratory syndrome	lipids	effect
drug	disease	no_relation
role	disease	effect
protein	disease	no_relation
rapamycin	disease	effect
inhibitor	disease	effect
disease	role	effect
influenza	antigen	no_relation
lipid	disease	no_relation
inhibitor	disease	no_relation
action	disease	no_relation
inhibitor	disease	no_relation
action	disease	no_relation
antigen	disease	no_relation
cholesterol	disease	no_relation
drug	disease	no_relation
disease	drug	no_relation
disease	inhibitor	no_relation
disease	phosphatidylinositol	no_relation
lipid	disease	effect
inhibitor	disease	no_relation
inhibitor	disease	no_relation
action	disease	effect
antigen	disease	no_relation
cholesterol	disease	no_relation
drug	disease	no_relation
drug	disease	no_relation
disease	inhibitor	no_relation
disease	phosphatidylinositol	no_relation
viral disease	ophthalmological	no_relation
disease	ophthalmological	effect
RNA	Rift Valley fever	effect
Rift Valley fever	proteins	no_relation
Rift Valley fever	glycoprotein	no_relation
Rift Valley fever	proteins	no_relation
Rift Valley fever	proteins	effect
Rift Valley fever	glycoprotein	no_relation
Rift Valley fever	role	no_relation
Rift Valley fever	proteins	no_relation
RNA	thrombocytopenia	no_relation
thrombocytopenia	proteins	no_relation
thrombocytopenia	glycoprotein	no_relation
thrombocytopenia	proteins	no_relation
thrombocytopenia	glycoprotein	no_relation
thrombocytopenia	role	no_relation
thrombocytopenia	proteins	no_relation
RNA	disease	no_relation
disease	proteins	no_relation
disease	glycoprotein	no_relation
disease	glycoprotein	no_relation
disease	role	no_relation
disease	proteins	no_relation
syphilis	cohort	no_relation
syphilis	DNA	no_relation
syphilis	DNA	no_relation
syphilis	DNA	effect
syphilis	DNA	no_relation
syphilis	DNA	no_relation
syphilis	DNA	no_relation
disease	cohort	no_relation
disease	DNA	no_relation
disease	DNA	no_relation
disease	DNA	effect
disease	DNA	no_relation
disease	DNA	no_relation
disease	DNA	no_relation
cohort	secondary syphilis	no_relation
secondary syphilis	DNA	no_relation
secondary syphilis	DNA	no_relation
secondary syphilis	DNA	effect
secondary syphilis	DNA	no_relation
secondary syphilis	DNA	no_relation
secondary syphilis	DNA	no_relation
cohort	HIV infection	no_relation
HIV infection	DNA	no_relation
HIV infection	DNA	no_relation
HIV infection	DNA	effect
HIV infection	DNA	no_relation
HIV infection	DNA	no_relation
HIV infection	DNA	no_relation
cohort	exanthem	no_relation
exanthem	DNA	no_relation
exanthem	DNA	no_relation
