Entity_1	Entity_2	Predicted_class
stable	gene expression	effect
stable	reverse transcription	effect
stable	ubiquitin	effect
stable	gene expression	no_relation
stable	reverse transcription	no_relation
stable	ubiquitin	no_relation
stable	Necrosis	no_relation
stable	gene expression	no_relation
stable	reverse transcription	no_relation
stable	ubiquitin	no_relation
stable	Necrosis	no_relation
central	myelin sheath	effect
central	myelin sheath	effect
central	breakdown	no_relation
Autoimmunity	myelin sheath	effect
Autoimmunity	myelin sheath	no_relation
Autoimmunity	breakdown	no_relation
peripheral	myelin sheath	effect
peripheral	breakdown	effect
RNA binding	RNP	no_relation
RNA binding	viral genome replication	no_relation
binding	RNP	no_relation
binding	viral genome replication	no_relation
affected	RNP	no_relation
affected	viral genome replication	no_relation
central	autophagy	no_relation
central	cellular process	no_relation
central	degradation	no_relation
central	autophagy	no_relation
central	autophagy	no_relation
central	cellular lipid metabolism	no_relation
central	autophagy	no_relation
fever	nucleocapsid	no_relation
fever	clathrin-mediated endocytosis	no_relation
fever	cytoskeleton	no_relation
fever	envelope	effect
fever	glycoprotein complex	no_relation
fever	signalling pathway	no_relation
fever	microtubule	no_relation
fever	intracellular	no_relation
cytoplasm	nucleocapsid	no_relation
cytoplasm	clathrin-mediated endocytosis	no_relation
cytoplasm	cytoskeleton	no_relation
cytoplasm	envelope	effect
cytoplasm	glycoprotein complex	no_relation
cytoplasm	signalling pathway	no_relation
cytoplasm	microtubule	no_relation
cytoplasm	intracellular	no_relation
severity	signalling	no_relation
severity	autophagy	no_relation
severity	autophagy	no_relation
severity	viral infection	no_relation
severity	autophagy	no_relation
severity	autophagosome	no_relation
severity	autophagy	no_relation
severity	autophagy	no_relation
severity	autophagy	no_relation
severity	autophagy	no_relation
frequent	host intracellular	no_relation
frequent	RNA replication	no_relation
acute	lipopolysaccharide binding	no_relation
acute	lipopolysaccharide binding	effect
acute	lipopolysaccharide binding	no_relation
healthy	lipopolysaccharide binding	no_relation
healthy	lipopolysaccharide binding	no_relation
healthy	lipopolysaccharide binding	no_relation
healthy	lipopolysaccharide binding	no_relation
clinical course	lipopolysaccharide binding	no_relation
respiratory infections	lipopolysaccharide binding	no_relation
severe	learning	effect
severe	learning	effect
severe	learning	effect
severe	learning	no_relation
severe	learning	effect
severe	learning	effect
severe	learning	no_relation
severe	learning	no_relation
diarrhea	signaling	no_relation
diarrhea	signaling	no_relation
leukaemia	cat	no_relation
immunodeficiency	cat	no_relation
health status	cat	no_relation
stable	gene expression	no_relation
stable	hpi	no_relation
stable	hpi	no_relation
stable	ribosome	no_relation
stable	cytoskeleton	no_relation
stable	gene expression	no_relation
stable	hpi	no_relation
stable	hpi	no_relation
stable	ribosome	no_relation
stable	cytoskeleton	no_relation
stable	gene expression	effect
stable	hpi	no_relation
stable	hpi	no_relation
stable	ribosome	no_relation
stable	cytoskeleton	effect
stable	gene expression	no_relation
stable	hpi	no_relation
stable	hpi	no_relation
stable	ribosome	no_relation
stable	cytoskeleton	no_relation
Severe	membrane	no_relation
Severe	nucleocapsid	no_relation
Severe	envelope	no_relation
Severe	VLP	no_relation
Severe	VLP	no_relation
Severe	VLP	no_relation
Severe	VLP	no_relation
affected	membrane	no_relation
affected	nucleocapsid	no_relation
affected	envelope	no_relation
affected	VLP	no_relation
affected	VLP	no_relation
affected	VLP	no_relation
affected	VLP	no_relation
Respiratory infections	behavior	no_relation
Respiratory infections	pathogenesis	no_relation
Severe	behavior	effect
Severe	pathogenesis	no_relation
severe	outer membrane	no_relation
stable	outer membrane	no_relation
binding	outer membrane	no_relation
rheumatoid arthritis	antibody	no_relation
rheumatoid arthritis	pathogenesis	no_relation
idiopathic thrombocytopenia	antibody	no_relation
idiopathic thrombocytopenia	pathogenesis	no_relation
hepatitis	antibody	effect
binding	antibody	effect
binding	pathogenesis	no_relation
binding	antibody	no_relation
binding	pathogenesis	no_relation
severe	leukocyte chemotaxis	no_relation
peritonitis	acidification	no_relation
peritonitis	acidification	no_relation
peritonitis	cat	no_relation
peritonitis	tropism	no_relation
peritonitis	cat	no_relation
peritonitis	cat	no_relation
peritonitis	tropism	no_relation
peritonitis	cat	no_relation
cancer	host cell	no_relation
cancer	acidification	effect
severe	Intracellular	effect
severe	host cell	effect
severe	drug resistance	effect
chronic	tropism	no_relation
mild	tropism	effect
mild	necrosis	effect
mild	yolk	no_relation
moderate	tropism	no_relation
moderate	necrosis	no_relation
moderate	yolk	no_relation
binding	tropism	effect
binding	necrosis	no_relation
binding	yolk	no_relation
mild	tropism	no_relation
mild	necrosis	effect
mild	yolk	no_relation
severe	tropism	no_relation
severe	necrosis	no_relation
severe	yolk	no_relation
Binding	tropism	no_relation
Binding	necrosis	no_relation
Binding	yolk	no_relation
profound	tropism	no_relation
profound	necrosis	no_relation
profound	yolk	no_relation
acute	tropism	no_relation
acute	necrosis	no_relation
acute	yolk	no_relation
chronic	tropism	no_relation
chronic	necrosis	no_relation
chronic	yolk	no_relation
severe	gene expression	no_relation
severe	pathogenesis	effect
fever	gene expression	no_relation
fever	pathogenesis	effect
severe	gene expression	no_relation
severe	pathogenesis	effect
peripheral	gene expression	no_relation
severe	gene expression	no_relation
severe	pathogenesis	effect
acute	gene expression	no_relation
acute	pathogenesis	no_relation
mild	pathogenesis	no_relation
frequency	RNA interference	no_relation
frequency	intracellular	no_relation
frequency	RNA splicing	no_relation
frequency	RNA modification	no_relation
frequency	RNA interference	effect
frequency	intracellular	no_relation
frequency	RNA splicing	no_relation
frequency	RNA modification	no_relation
diarrhoea	pathogenesis	no_relation
bronchitis	pathogenesis	effect
