Entity_1	Entity_2	Predicted_class
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e0	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e2	effect
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e1	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e2	effect
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e3	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e2	effect
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e4	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e2	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c0.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c0.e2	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e2	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e5	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e6	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e7	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e8	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e9	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e10	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e11	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e13	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e14	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e15	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e16	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e2	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e5	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e6	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e7	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e9	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e10	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e13	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e14	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e2	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e5	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e6	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e7	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e8	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e9	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e10	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e11	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e13	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e14	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e15	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e12	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e16	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e2	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e5	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e6	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e7	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e8	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e9	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e10	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e11	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e13	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e14	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e15	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e17	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c1.e16	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e5	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e7	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e9	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e12	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e13	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e1	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e5	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e1	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e7	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e1	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e9	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e1	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e12	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e1	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e13	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e3	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e5	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e3	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e7	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e3	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e9	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e3	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e12	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e3	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e13	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e5	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e7	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e9	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e12	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e4	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e13	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e10	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e5	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e10	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e7	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e10	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c2.e9	effect
