Entity_1	Entity_2	Predicted_class
33295513_en.c0.e1	33295513_en.c0.e0	no_relation
33295513_en.c1.e0	33295513_en.c1.e1	no_relation
33295513_en.c1.e0	33295513_en.c1.e2	no_relation
33295513_en.c1.e0	33295513_en.c1.e4	no_relation
33295513_en.c1.e0	33295513_en.c1.e5	effect
33295513_en.c1.e0	33295513_en.c1.e6	effect
33295513_en.c1.e0	33295513_en.c1.e7	effect
33295513_en.c1.e0	33295513_en.c1.e8	no_relation
33295513_en.c1.e0	33295513_en.c1.e9	no_relation
33295513_en.c1.e0	33295513_en.c1.e10	no_relation
33295513_en.c1.e0	33295513_en.c1.e11	no_relation
33295513_en.c1.e3	33295513_en.c1.e1	effect
33295513_en.c1.e3	33295513_en.c1.e2	effect
33295513_en.c1.e3	33295513_en.c1.e5	effect
33295513_en.c1.e3	33295513_en.c1.e6	effect
33295513_en.c1.e3	33295513_en.c1.e7	effect
33295513_en.c1.e3	33295513_en.c1.e8	effect
33295513_en.c1.e3	33295513_en.c1.e9	effect
31269160_en.c1.e0	31269160_en.c1.e4	no_relation
31269160_en.c1.e1	31269160_en.c1.e4	no_relation
31269160_en.c1.e2	31269160_en.c1.e4	no_relation
28614442_en.c1.e2	28614442_en.c1.e0	no_relation
28614442_en.c1.e2	28614442_en.c1.e3	effect
28614442_en.c1.e2	28614442_en.c1.e4	no_relation
28614442_en.c1.e2	28614442_en.c1.e11	effect
28614442_en.c1.e5	28614442_en.c1.e0	no_relation
28614442_en.c1.e5	28614442_en.c1.e3	no_relation
28614442_en.c1.e5	28614442_en.c1.e4	no_relation
28614442_en.c1.e5	28614442_en.c1.e11	effect
28614442_en.c1.e7	28614442_en.c1.e0	effect
28614442_en.c1.e7	28614442_en.c1.e3	effect
28614442_en.c1.e7	28614442_en.c1.e4	effect
28614442_en.c1.e7	28614442_en.c1.e11	effect
28614442_en.c1.e8	28614442_en.c1.e0	effect
28614442_en.c1.e8	28614442_en.c1.e3	effect
28614442_en.c1.e8	28614442_en.c1.e4	effect
28614442_en.c1.e8	28614442_en.c1.e11	effect
28614442_en.c1.e9	28614442_en.c1.e0	effect
28614442_en.c1.e9	28614442_en.c1.e3	effect
28614442_en.c1.e9	28614442_en.c1.e4	effect
28614442_en.c1.e9	28614442_en.c1.e11	effect
30328993_en.c1.e0	30328993_en.c1.e4	no_relation
30328993_en.c1.e1	30328993_en.c1.e4	no_relation
30328993_en.c1.e2	30328993_en.c1.e4	no_relation
30328993_en.c1.e5	30328993_en.c1.e4	effect
31482943_en.c1.e1	31482943_en.c1.e0	effect
32997068_en.c1.e1	32997068_en.c1.e0	no_relation
32997068_en.c1.e1	32997068_en.c1.e2	no_relation
32997068_en.c1.e1	32997068_en.c1.e3	no_relation
32997068_en.c1.e1	32997068_en.c1.e5	no_relation
32997068_en.c1.e4	32997068_en.c1.e0	no_relation
32997068_en.c1.e4	32997068_en.c1.e2	no_relation
32997068_en.c1.e4	32997068_en.c1.e3	effect
27759772_en.c1.e6	27759772_en.c1.e5	effect
33237252_en.c1.e2	33237252_en.c1.e0	effect
31721899_en.c1.e0	31721899_en.c1.e2	effect
31721899_en.c1.e1	31721899_en.c1.e2	effect
33027354_en.c1.e0	33027354_en.c1.e2	no_relation
33027354_en.c1.e1	33027354_en.c1.e2	no_relation
33027354_en.c1.e3	33027354_en.c1.e2	no_relation
33027358_en.c1.e0	33027358_en.c1.e1	no_relation
33027358_en.c1.e2	33027358_en.c1.e1	no_relation
32520292_en.c1.e0	32520292_en.c1.e1	effect
32236292_en.c1.e0	32236292_en.c1.e2	no_relation
32236292_en.c1.e1	32236292_en.c1.e2	effect
29160443_en.c1.e0	29160443_en.c1.e3	no_relation
29160443_en.c1.e0	29160443_en.c1.e4	no_relation
29160443_en.c1.e0	29160443_en.c1.e6	effect
29160443_en.c1.e0	29160443_en.c1.e7	effect
29160443_en.c1.e0	29160443_en.c1.e8	effect
29160443_en.c1.e0	29160443_en.c1.e10	no_relation
29160443_en.c1.e0	29160443_en.c1.e12	no_relation
29160443_en.c1.e0	29160443_en.c1.e13	no_relation
29160443_en.c1.e2	29160443_en.c1.e3	no_relation
