Entity_1	Entity_2	Predicted_class
643ce1300f0c4056a709e1b13269a51924960a3a.c1.e0	643ce1300f0c4056a709e1b13269a51924960a3a.c1.e4	no_relation
643ce1300f0c4056a709e1b13269a51924960a3a.c1.e2	643ce1300f0c4056a709e1b13269a51924960a3a.c1.e4	no_relation
643ce1300f0c4056a709e1b13269a51924960a3a.c1.e3	643ce1300f0c4056a709e1b13269a51924960a3a.c1.e4	no_relation
c32c7f59bd902e4b2ef9fbe78e87c1d683de2d42.c1.e0	c32c7f59bd902e4b2ef9fbe78e87c1d683de2d42.c1.e4	effect
c32c7f59bd902e4b2ef9fbe78e87c1d683de2d42.c1.e1	c32c7f59bd902e4b2ef9fbe78e87c1d683de2d42.c1.e4	effect
c32c7f59bd902e4b2ef9fbe78e87c1d683de2d42.c1.e3	c32c7f59bd902e4b2ef9fbe78e87c1d683de2d42.c1.e4	no_relation
3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e0	3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e2	effect
3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e1	3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e2	no_relation
3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e0	3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e3	effect
3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e1	3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e3	no_relation
3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e0	3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e4	effect
3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e0	3391fcc4d89196ca239c043cfb37e68d8d2e370a.c1.e5	effect
90b43fc0b556b97bcc6ccc57f87f4e2811e0d4ed.c2.e0	90b43fc0b556b97bcc6ccc57f87f4e2811e0d4ed.c2.e2	effect
90b43fc0b556b97bcc6ccc57f87f4e2811e0d4ed.c3.e0	90b43fc0b556b97bcc6ccc57f87f4e2811e0d4ed.c3.e1	no_relation
6cfa11e4308af9ef83f7800b45f011139915cd43.c1.e0	6cfa11e4308af9ef83f7800b45f011139915cd43.c1.e1	no_relation
6cfa11e4308af9ef83f7800b45f011139915cd43.c2.e1	6cfa11e4308af9ef83f7800b45f011139915cd43.c2.e2	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e0	f93195034f642c748faae11cb58300881eb7b2bb.c1.e2	effect
f93195034f642c748faae11cb58300881eb7b2bb.c1.e1	f93195034f642c748faae11cb58300881eb7b2bb.c1.e2	effect
f93195034f642c748faae11cb58300881eb7b2bb.c1.e2	f93195034f642c748faae11cb58300881eb7b2bb.c1.e4	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e2	f93195034f642c748faae11cb58300881eb7b2bb.c1.e6	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e2	f93195034f642c748faae11cb58300881eb7b2bb.c1.e7	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e0	f93195034f642c748faae11cb58300881eb7b2bb.c1.e3	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e1	f93195034f642c748faae11cb58300881eb7b2bb.c1.e3	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e3	f93195034f642c748faae11cb58300881eb7b2bb.c1.e4	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e3	f93195034f642c748faae11cb58300881eb7b2bb.c1.e6	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e3	f93195034f642c748faae11cb58300881eb7b2bb.c1.e7	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e0	f93195034f642c748faae11cb58300881eb7b2bb.c1.e5	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e1	f93195034f642c748faae11cb58300881eb7b2bb.c1.e5	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e4	f93195034f642c748faae11cb58300881eb7b2bb.c1.e5	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e5	f93195034f642c748faae11cb58300881eb7b2bb.c1.e6	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e5	f93195034f642c748faae11cb58300881eb7b2bb.c1.e7	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e0	f93195034f642c748faae11cb58300881eb7b2bb.c1.e8	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e1	f93195034f642c748faae11cb58300881eb7b2bb.c1.e8	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e4	f93195034f642c748faae11cb58300881eb7b2bb.c1.e8	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e6	f93195034f642c748faae11cb58300881eb7b2bb.c1.e8	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e7	f93195034f642c748faae11cb58300881eb7b2bb.c1.e8	no_relation
f93195034f642c748faae11cb58300881eb7b2bb.c1.e0	f93195034f642c748faae11cb58300881eb7b2bb.c1.e9	effect
f93195034f642c748faae11cb58300881eb7b2bb.c1.e1	f93195034f642c748faae11cb58300881eb7b2bb.c1.e9	effect
f93195034f642c748faae11cb58300881eb7b2bb.c1.e4	f93195034f642c748faae11cb58300881eb7b2bb.c1.e9	no_relation
