Entity_1	Entity_2	Predicted_class
43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e2	43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e0	effect
43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e2	43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e1	effect
43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e2	43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e3	effect
43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e5	43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e0	no_relation
43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e5	43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e1	no_relation
43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e5	43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e3	no_relation
43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e5	43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e4	no_relation
43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e6	43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e0	no_relation
43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e6	43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e1	no_relation
43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e6	43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e3	no_relation
43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e6	43eaa4d7209e389a360aeab2b3b44e76fd89f5c2.c1.e4	no_relation
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e0	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e1	effect
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e0	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e3	effect
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e0	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e4	no_relation
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e2	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e1	effect
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e2	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e3	no_relation
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e2	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e4	no_relation
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e5	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e3	effect
864336d3d1a34686efdd078534a092fc888c2c3f.c1.e5	864336d3d1a34686efdd078534a092fc888c2c3f.c1.e4	effect
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e4	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e0	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e5	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e2	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e4	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e2	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e5	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e3	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e4	no_relation
f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e3	f44786ccd9fbd63530866db7c60cac06fb9b0fb9.c4.e5	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e2	b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e0	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e2	b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e1	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e2	b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e3	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e2	b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e4	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e2	b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e5	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e2	b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e6	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e2	b66c037ebfee8059dd47d2614cf5d55618d8260f.c2.e9	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e1	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e2	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e4	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e6	effect
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e7	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e9	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e10	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e11	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e5	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e1	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e5	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e2	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e5	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e4	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e5	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e6	effect
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e5	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e7	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e5	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e9	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e5	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e10	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e5	b66c037ebfee8059dd47d2614cf5d55618d8260f.c3.e11	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e1	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e2	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e3	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e4	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e5	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e6	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e7	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e8	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e9	no_relation
b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e0	b66c037ebfee8059dd47d2614cf5d55618d8260f.c4.e10	no_relation
b6fa578aa0397c1d6e2e0340b8581eb2c318974a.c1.e0	b6fa578aa0397c1d6e2e0340b8581eb2c318974a.c1.e1	no_relation
b6fa578aa0397c1d6e2e0340b8581eb2c318974a.c1.e0	b6fa578aa0397c1d6e2e0340b8581eb2c318974a.c1.e3	no_relation
fb113c8235675412d874b092faf5b997ac410434.c1.e0	fb113c8235675412d874b092faf5b997ac410434.c1.e1	no_relation
fb113c8235675412d874b092faf5b997ac410434.c1.e3	fb113c8235675412d874b092faf5b997ac410434.c1.e1	effect
fb113c8235675412d874b092faf5b997ac410434.c1.e4	fb113c8235675412d874b092faf5b997ac410434.c1.e1	no_relation
