Entity_1	Entity_2	Predicted_class
30328993_en.c1.e14	30328993_en.c1.e0	no_relation
30328993_en.c1.e14	30328993_en.c1.e1	no_relation
30328993_en.c1.e14	30328993_en.c1.e7	no_relation
30328993_en.c1.e14	30328993_en.c1.e9	no_relation
30328993_en.c1.e14	30328993_en.c1.e10	no_relation
30328993_en.c1.e14	30328993_en.c1.e11	no_relation
30328993_en.c1.e14	30328993_en.c1.e13	no_relation
33053075_en.c1.e2	33053075_en.c1.e0	no_relation
33053075_en.c1.e2	33053075_en.c1.e1	no_relation
30427400_en.c1.e0	30427400_en.c1.e2	no_relation
30427400_en.c1.e0	30427400_en.c1.e4	no_relation
30427400_en.c1.e0	30427400_en.c1.e5	no_relation
30427400_en.c1.e1	30427400_en.c1.e2	no_relation
30427400_en.c1.e1	30427400_en.c1.e4	no_relation
30427400_en.c1.e1	30427400_en.c1.e5	no_relation
30427400_en.c1.e3	30427400_en.c1.e2	no_relation
30427400_en.c1.e3	30427400_en.c1.e4	no_relation
30427400_en.c1.e3	30427400_en.c1.e5	no_relation
31721899_en.c1.e2	31721899_en.c1.e0	effect
31721899_en.c1.e2	31721899_en.c1.e1	no_relation
31721899_en.c1.e2	31721899_en.c1.e5	no_relation
31721899_en.c1.e3	31721899_en.c1.e0	effect
31721899_en.c1.e3	31721899_en.c1.e1	no_relation
31721899_en.c1.e3	31721899_en.c1.e5	no_relation
31721899_en.c1.e4	31721899_en.c1.e0	effect
31721899_en.c1.e4	31721899_en.c1.e1	effect
31721899_en.c1.e4	31721899_en.c1.e5	no_relation
31721899_en.c1.e6	31721899_en.c1.e0	no_relation
31721899_en.c1.e6	31721899_en.c1.e1	no_relation
31721899_en.c1.e6	31721899_en.c1.e5	no_relation
32520292_en.c1.e0	32520292_en.c1.e1	no_relation
29160443_en.c1.e1	29160443_en.c1.e0	no_relation
29160443_en.c1.e1	29160443_en.c1.e2	no_relation
29160443_en.c1.e1	29160443_en.c1.e5	no_relation
29160443_en.c1.e1	29160443_en.c1.e6	no_relation
29160443_en.c1.e1	29160443_en.c1.e7	no_relation
29160443_en.c1.e1	29160443_en.c1.e8	no_relation
29160443_en.c1.e3	29160443_en.c1.e0	no_relation
29160443_en.c1.e3	29160443_en.c1.e2	no_relation
29160443_en.c1.e3	29160443_en.c1.e5	no_relation
29160443_en.c1.e3	29160443_en.c1.e6	no_relation
29160443_en.c1.e3	29160443_en.c1.e7	no_relation
29160443_en.c1.e3	29160443_en.c1.e8	no_relation
29160443_en.c1.e9	29160443_en.c1.e0	no_relation
29160443_en.c1.e9	29160443_en.c1.e2	no_relation
29160443_en.c1.e9	29160443_en.c1.e5	no_relation
29160443_en.c1.e9	29160443_en.c1.e6	no_relation
29160443_en.c1.e9	29160443_en.c1.e7	no_relation
29160443_en.c1.e9	29160443_en.c1.e8	no_relation
32965395_en.c1.e4	32965395_en.c1.e0	no_relation
32965395_en.c1.e4	32965395_en.c1.e1	no_relation
32965395_en.c1.e4	32965395_en.c1.e2	no_relation
27759774_en.c1.e1	27759774_en.c1.e0	no_relation
27759774_en.c1.e1	27759774_en.c1.e2	no_relation
27759774_en.c1.e1	27759774_en.c1.e3	no_relation
27759774_en.c1.e1	27759774_en.c1.e5	no_relation
27759774_en.c1.e1	27759774_en.c1.e6	no_relation
27759774_en.c1.e1	27759774_en.c1.e7	no_relation
30328985_en.c1.e2	30328985_en.c1.e0	no_relation
30328985_en.c1.e2	30328985_en.c1.e1	no_relation
30328985_en.c1.e2	30328985_en.c1.e5	no_relation
30328985_en.c1.e4	30328985_en.c1.e0	no_relation
30328985_en.c1.e4	30328985_en.c1.e1	no_relation
30328985_en.c1.e4	30328985_en.c1.e3	no_relation
30328985_en.c1.e4	30328985_en.c1.e5	no_relation
30328985_en.c1.e6	30328985_en.c1.e0	no_relation
30328985_en.c1.e6	30328985_en.c1.e1	no_relation
30328985_en.c1.e6	30328985_en.c1.e3	no_relation
30328985_en.c1.e6	30328985_en.c1.e5	no_relation
32520284_en.c1.e1	32520284_en.c1.e0	no_relation
33053094_en.c1.e0	33053094_en.c1.e1	no_relation
33206834_en.c1.e1	33206834_en.c1.e0	no_relation
33206834_en.c1.e1	33206834_en.c1.e2	no_relation
33237250_en.c1.e1	33237250_en.c1.e2	no_relation
33237250_en.c1.e1	33237250_en.c1.e4	no_relation
33237250_en.c1.e1	33237250_en.c1.e5	no_relation
29160431_en.c1.e2	29160431_en.c1.e0	effect
29160431_en.c1.e2	29160431_en.c1.e1	effect
29160431_en.c1.e2	29160431_en.c1.e4	no_relation
29160431_en.c1.e2	29160431_en.c1.e5	effect
29160431_en.c1.e2	29160431_en.c1.e6	no_relation
29160431_en.c1.e2	29160431_en.c1.e7	effect
29160431_en.c1.e2	29160431_en.c1.e8	no_relation
29412427_en.c1.e0	29412427_en.c1.e1	no_relation
29412427_en.c1.e0	29412427_en.c1.e2	no_relation
30066818_en.c1.e7	30066818_en.c1.e0	effect
30066818_en.c1.e7	30066818_en.c1.e2	no_relation
30066818_en.c1.e7	30066818_en.c1.e3	no_relation
30066818_en.c1.e7	30066818_en.c1.e4	no_relation
30066818_en.c1.e7	30066818_en.c1.e5	no_relation
30066818_en.c1.e7	30066818_en.c1.e6	no_relation
33295455_en.c1.e13	33295455_en.c1.e12	no_relation
33295455_en.c1.e13	33295455_en.c1.e14	effect
