# Id	Subject	Object	Predicate	Lexical cue
T1	4-7	CHEBI:3416	denotes	aim
T3	40-50	MESH:D015995	denotes	prevalence
T6	84-88	MESH:D005145	denotes	face
T4	84-88	DOID:0111084	denotes	face
T7	89-94	MESH:D008397	denotes	masks
T9	99-103	MESH:D006225	denotes	hand
T10	125-129	CHEBI:75830	denotes	home
T12	153-157	MESH:D000368	denotes	aged
T13	186-195	MESH:D013689	denotes	telephone
T15	318-323	MESH:D000375	denotes	Aging
T16	383-387	HP:0012835	denotes	left
T17	388-392	CHEBI:75830	denotes	home
T18	464-468	CHEBI:75830	denotes	home
T20	505-509	HP:0012835	denotes	left
T21	582-586	HP:0012835	denotes	left
T22	627-631	CHEBI:75830	denotes	home
T24	644-652	MESH:D008511	denotes	medicine
T23	644-652	CHEBI:23888	denotes	medicine
T26	656-660	MESH:D005502	denotes	food
T25	656-660	CHEBI:33290	denotes	food
T27	673-677	MESH:D014937	denotes	work
T28	713-719	MESH:D006262	denotes	health
T29	737-745	MESH:D015444	denotes	exercise
T31	766-772	MESH:D005190	denotes	family
T32	776-783	MESH:D033062	denotes	friends
T33	808-812	HP:0012835	denotes	left
T34	813-817	CHEBI:75830	denotes	home
T37	837-841	MESH:D005145	denotes	face
T35	837-841	DOID:0111084	denotes	face
T38	842-847	MESH:D008397	denotes	masks
T40	875-879	MESH:D006225	denotes	hand
T41	889-894	MESH:D014930	denotes	Women
T42	895-899	HP:0012835	denotes	left
T43	900-904	CHEBI:75830	denotes	home
T44	921-924	MESH:D008571	denotes	men
T45	926-929	MESH:D008571	denotes	Men
T46	930-934	HP:0012835	denotes	left
T47	935-939	CHEBI:75830	denotes	home
T48	954-958	MESH:D014937	denotes	work
T49	963-971	MESH:D015444	denotes	exercise
T50	978-983	MESH:D014930	denotes	women
T51	984-988	HP:0012835	denotes	left
T52	989-993	CHEBI:75830	denotes	home
T53	1025-1028	MESH:D008571	denotes	Men
T54	1030-1040	MESH:D016017	denotes	odds ratio
T56	1073-1082	MESH:D004493	denotes	education
T57	1170-1174	HP:0012835	denotes	left
T58	1175-1179	CHEBI:75830	denotes	home
T59	1243-1246	CHEBI:84123	denotes	age
T60	1331-1341	MESH:D015995	denotes	prevalence
T63	1365-1369	MESH:D005145	denotes	face
T61	1365-1369	DOID:0111084	denotes	face
T64	1370-1375	MESH:D008397	denotes	masks
T66	1380-1384	MESH:D006225	denotes	hand
