# Term	Identifier
paper	MESH:D010209
foundations	MESH:D005582
COVID-19	DOID:0080600
Health	MESH:D006262
health	MESH:D006262
bases	CHEBI:22695
elements	MESH:D004602
elements	CHEBI:33250
capitalism	MESH:D030861
movement	MESH:D009068
severe	HP:0012828
acute	HP:0011009
Brazil	MESH:D001938
Influenza	DOID:8469
viruses	MESH:D014780
time	MESH:D013995
age	CHEBI:84123
face	MESH:D005145
face	DOID:0111084
coronavirus	MESH:D017934
disease	MESH:D004194
disease	DOID:4
patients	MESH:D010361
risk factors	MESH:D012307
risk	MESH:D012306
attention	MESH:D001288
cardiovascular system	MESH:D002319
March	DOID:0080327
Incidence	MESH:D015994
mortality	MESH:D009026
incidence	MESH:D015994
overall	MESH:D016424
cardiology	MESH:D002309
oncology	HP:0002664
cohort	CHEBI:34935
commerce	MESH:D003132
exercise	MESH:D015444
blood pressure	MESH:D001794
blood	MESH:D001769
pressure	MESH:D011312
radiotherapy	MESH:D011878
prognosis	MESH:D011379
syndrome	MESH:D013577
syndrome	DOID:225
onset	HP:0003674
records	MESH:D011996
aged	MESH:D000368
antigen	CHEBI:59132
heterogeneous	HP:0001425
Covid-19	DOID:0080600
probability	MESH:D011336
masks	MESH:D008397
hand hygiene	MESH:D063373
hand	MESH:D006225
hygiene	MESH:D006920
alcohol	CHEBI:30879
alcohol	CHEBI:16236
water	MESH:D014867
water	CHEBI:15377
role	MESH:D012380
role	CHEBI:50906
severity	HP:0012824
tocilizumab	CHEBI:64360
randomized controlled trial	MESH:D016449
moderate	HP:0012826
ferritin	CHEBI:82594
lactate	CHEBI:24996
central	HP:0030645
review	MESH:D016454
policy	MESH:D057766
safety	MESH:D012449
legislation	MESH:D020485
population	MESH:D011153
epidemiological monitoring	MESH:D062665
Coronavirus	MESH:D017934
myocarditis	MESH:D009205
myocarditis	HP:0012819
myocarditis	DOID:820
research	MESH:D012106
ACE inhibitors	CHEBI:35457
inhibitors	CHEBI:35222
angiotensin	CHEBI:2719
hypertension	MESH:D006973
hypertension	HP:0000822
hypertension	DOID:10763
heart failure	MESH:D006333
heart failure	HP:0001635
heart	MESH:D006321
perception	MESH:D010465
social isolation	MESH:D012934
affected	HP:0032320
education	MESH:D004493
income	MESH:D007182
sleep	MESH:D012890
action	CHEBI:5133
RNA	MESH:D012313
RNA	CHEBI:33697
biomarkers	MESH:D015415
death	MESH:D003643
survivors	MESH:D017741
retrospective studies	MESH:D012189
troponin	MESH:D014336
creatine	MESH:D003401
creatine	CHEBI:16919
SARS-CoV-2 infection	DOID:0080600
severe acute respiratory syndrome	MESH:D045169
severe acute respiratory syndrome	DOID:2945
viral pneumonia	DOID:10533
pneumonia	MESH:D011014
pneumonia	HP:0002090
pneumonia	DOID:552
acute respiratory distress syndrome	DOID:11394
respiratory distress	HP:0002098
corticosteroids	CHEBI:50858
dexamethasone	MESH:D003907
dexamethasone	CHEBI:41879
ventilation	MESH:D014691
adult	MESH:D000328
Berlin	MESH:D001604
Group	CHEBI:24433
Patients	MESH:D010361
group	CHEBI:24433
aim	CHEBI:3416
prevalence	MESH:D015995
home	CHEBI:75830
telephone	MESH:D013689
Aging	MESH:D000375
left	HP:0012835
medicine	MESH:D008511
medicine	CHEBI:23888
food	MESH:D005502
food	CHEBI:33290
work	MESH:D014937
family	MESH:D005190
friends	MESH:D033062
Women	MESH:D014930
men	MESH:D008571
Men	MESH:D008571
women	MESH:D014930
odds ratio	MESH:D016017
ARDS	DOID:11394
mild	HP:0012825
natural history	MESH:D019021
history	MESH:D006664
clinical protocols	MESH:D002985
chronic	HP:0011010
life	MESH:D019369
lost	CHEBI:25434
Severe Acute Respiratory Syndrome	MESH:D045169
Severe Acute Respiratory Syndrome	DOID:2945
Severe	HP:0012828
Acute	HP:0011009
Syndrome	MESH:D013577
Syndrome	DOID:225
SARS	DOID:2945
female	MESH:D005260
%),	CHEBI:28515
hospital mortality	MESH:D017052
frequent	HP:0040282
literature	MESH:D008091
coughing	HP:0012735
dyspnea	MESH:D004417
dyspnea	HP:0002094
taste	MESH:D013649
smell	MESH:D012903
health services	MESH:D006296
Geographic Information Systems	MESH:D040362
Information Systems	MESH:D007256
beds	MESH:D001513
index	MESH:D020481
clusters	CHEBI:33731
far east	MESH:D005202
World Health Organization	MESH:D014944
persons	MESH:D009272
infections	MESH:D007239
cities	MESH:D002947
antibodies	MESH:D000906
