# Term	Identifier
COVID-19	DOID:0080600
policy	MESH:D057766
safety	MESH:D012449
review	MESH:D016454
legislation	MESH:D020485
population	MESH:D011153
epidemiological monitoring	MESH:D062665
Health	MESH:D006262
Geographic Information Systems	MESH:D040362
Information Systems	MESH:D007256
beds	MESH:D001513
far east	MESH:D005202
foundations	MESH:D005582
health	MESH:D006262
elements	MESH:D004602
capitalism	MESH:D030861
SARS-CoV-2	MESH:D000086402
movement	MESH:D009068
severe	HP:0012828
acute	HP:0011009
Brazil	MESH:D001938
Influenza	DOID:8469
viruses	MESH:D014780
time	MESH:D013995
coronavirus	MESH:D017934
disease	MESH:D004194
disease	DOID:4
patients	MESH:D010361
cardiovascular risk factors	MESH:D000082742
risk	MESH:D012306
risk factors	MESH:D012307
attention	MESH:D001288
cardiovascular system	MESH:D002319
Coronavirus	MESH:D017934
myocarditis	MESH:D009205
myocarditis	HP:0012819
myocarditis	DOID:820
research	MESH:D012106
ACE inhibitors	CHEBI:35457
inhibitors	CHEBI:35222
angiotensin	CHEBI:2719
hypertension	MESH:D006973
hypertension	HP:0000822
hypertension	DOID:10763
heart failure	MESH:D006333
heart failure	HP:0001635
heart	MESH:D006321
Incidence	MESH:D015994
mortality	MESH:D009026
incidence	MESH:D015994
death	MESH:D003643
heterogeneous	HP:0001425
Covid-19	DOID:0080600
probability	MESH:D011336
masks	MESH:D008397
social distancing	MESH:D000085762
hand hygiene	MESH:D063373
hand	MESH:D006225
hygiene	MESH:D006920
alcohol	CHEBI:30879
alcohol	CHEBI:16236
water	MESH:D014867
water	CHEBI:15377
World Health Organization	MESH:D014944
pandemic	MESH:D058873
prevalence	MESH:D015995
persons	MESH:D009272
infections	MESH:D007239
cities	MESH:D002947
antibodies	MESH:D000906
perception	MESH:D010465
social isolation	MESH:D012934
affected	HP:0032320
education	MESH:D004493
income	MESH:D007182
sleep	MESH:D012890
frequent	HP:0040282
severe acute respiratory syndrome	MESH:D045169
severe acute respiratory syndrome	DOID:2945
syndrome	DOID:225
syndrome	MESH:D013577
literature	MESH:D008091
coughing	HP:0012735
dyspnea	MESH:D004417
dyspnea	HP:0002094
taste	MESH:D013649
smell	MESH:D012903
mild	HP:0012825
health services	MESH:D006296
RNA	MESH:D012313
RNA	CHEBI:33697
biomarkers	MESH:D015415
survivors	MESH:D017741
retrospective studies	MESH:D012189
troponin	MESH:D014336
creatine	MESH:D003401
creatine	CHEBI:16919
SARS-CoV-2 infection	DOID:0080600
role	MESH:D012380
role	CHEBI:50906
severity	HP:0012824
tocilizumab	CHEBI:64360
randomized controlled trial	MESH:D016449
moderate	HP:0012826
ferritin	CHEBI:82594
cardiology	MESH:D002309
oncology	HP:0002664
exercise	MESH:D015444
blood pressure	MESH:D001794
blood	MESH:D001769
pressure	MESH:D011312
radiotherapy	MESH:D011878
prognosis	MESH:D011379
SARS-CoV-2	MESH:41879
viral pneumonia	DOID:10533
pneumonia	MESH:D011014
pneumonia	HP:0002090
pneumonia	DOID:552
acute respiratory distress syndrome	DOID:11394
respiratory distress	HP:0002098
corticosteroids	CHEBI:50858
dexamethasone	MESH:D003907
dexamethasone	CHEBI:41879
ventilation	MESH:D014691
adult	MESH:D000328
Berlin	MESH:D001604
Patients	MESH:D010361
face	MESH:D005145
aged	MESH:D000368
telephone	MESH:D013689
Aging	MESH:D000375
medicine	MESH:D008511
medicine	CHEBI:23888
food	MESH:D005502
food	CHEBI:33290
work	MESH:D014937
family	MESH:D005190
friends	MESH:D033062
Women	MESH:D014930
men	MESH:D008571
Men	MESH:D008571
women	MESH:D014930
odds ratio	MESH:D016017
age	CHEBI:84123
ARDS	DOID:11394
natural history	MESH:D019021
history	MESH:D006664
clinical protocols	MESH:D002985
chronic	HP:0011010
life	MESH:D019369
Severe Acute Respiratory Syndrome	MESH:D045169
Severe Acute Respiratory Syndrome	DOID:2945
Severe	HP:0012828
Acute	HP:0011009
Syndrome	MESH:D013577
Syndrome	DOID:225
SARS	DOID:2945
female	MESH:D005260
hospital mortality	MESH:D017052
onset	HP:0003674
records	MESH:D011996
antigen	CHEBI:59132
