# Id	Subject	Object	Predicate	Lexical cue
T2	64-70	MESH:D001938	denotes	Brazil
T3	78-88	MESH:D010465	denotes	perception
T4	92-108	MESH:D012934	denotes	social isolation
T28	120-128	MESH:D000086382	denotes	COVID-19
T5	120-128	DOID:0080600	denotes	COVID-19
T24	120-128	HP:0033141	denotes	COVID-19
T7	456-464	HP:0032320	denotes	affected
T8	497-506	MESH:D004493	denotes	education
T9	511-517	MESH:D007182	denotes	income
T10	611-617	MESH:D007182	denotes	income
T11	622-631	MESH:D004493	denotes	education
T31	657-674	MESH:D015444	denotes	physical activity
T27	742-747	GO_0030431	denotes	sleep
T13	742-747	MESH:D012890	denotes	sleep
T14	951-967	MESH:D012934	denotes	social isolation
T30	1005-1013	MESH:D000086382	denotes	COVID-19
T26	1005-1013	HP:0033141	denotes	COVID-19
T15	1005-1013	DOID:0080600	denotes	COVID-19
T17	1059-1069	MESH:D010465	denotes	perception
T18	1076-1092	MESH:D012934	denotes	social isolation
T20	1135-1141	MESH:D007182	denotes	income
T21	1143-1152	MESH:D004493	denotes	education
T29	1321-1329	MESH:D000086382	denotes	COVID-19
T25	1321-1329	HP:0033141	denotes	COVID-19
T23	1321-1329	DOID:0080600	denotes	COVID-19
