# Id	Subject	Object	Predicate	Lexical cue
T55	0-10	MESH:D000086402	denotes	SARS-CoV-2
T54	26-29	CHEBI:33697	denotes	RNA
T3	26-35	MESH:D012328	denotes	RNA virus
T86	54-86	MESH:D045169	denotes	severe acute respiratory disease
T4	54-60	HP:0012828	denotes	severe
T5	61-66	HP:0011009	denotes	acute
T61	67-86	HP:0002795	denotes	respiratory disease
T58	67-86	DOID:1579	denotes	respiratory disease
T74	96-104	MESH:D000086382	denotes	COVID-19
T62	96-104	HP:0033141	denotes	COVID-19
T59	96-104	DOID:0080600	denotes	COVID-19
T87	115-123	MESH:D000086382	denotes	COVID-19
T63	115-123	HP:0033141	denotes	COVID-19
T10	115-123	DOID:0080600	denotes	COVID-19
T66	143-160	MESH:D008171	denotes	pulmonary disease
T65	143-160	HP:0002795	denotes	pulmonary disease
T64	143-160	DOID:850	denotes	pulmonary disease
T14	167-175	MESH:D010361	denotes	patients
T15	181-187	HP:0012828	denotes	severe
T67	188-209	HP:0001626	denotes	cardiovascular damage
T68	276-293	HP:0001637	denotes	myocardial injury
T17	294-304	MESH:D015415	denotes	biomarkers
T19	360-365	MESH:D003643	denotes	death
T20	369-377	MESH:D010361	denotes	patients
T75	383-391	MESH:D000086382	denotes	COVID-19
T69	383-391	HP:0033141	denotes	COVID-19
T21	383-391	DOID:0080600	denotes	COVID-19
T23	516-526	MESH:D015415	denotes	biomarkers
T24	580-589	MESH:D017741	denotes	survivors
T77	593-601	HP:0033141	denotes	COVID-19
T76	593-601	MESH:D000086382	denotes	COVID-19
T25	593-601	DOID:0080600	denotes	COVID-19
T88	756-777	MESH:D016001	denotes	confidence intervals.
T30	834-855	MESH:D012189	denotes	retrospective studies
T31	882-890	MESH:D010361	denotes	patients
T32	896-905	MESH:D017741	denotes	survivors
T70	1034-1044	MESH:D019210	denotes	troponin I
T72	1068-1087	CHEBI:80233	denotes	natriuretic peptide
T35	1093-1101	MESH:D003401	denotes	creatine
T34	1093-1101	CHEBI:16919	denotes	creatine
T81	1117-1138	MESH:D018376	denotes	cardiac complications
T37	1170-1174	MESH:D012306	denotes	risk
T39	1178-1183	MESH:D003643	denotes	death
T40	1188-1196	MESH:D010361	denotes	patients
T78	1202-1222	MESH:D000086382	denotes	SARS-CoV-2 infection
T73	1202-1222	HP:0033141	denotes	SARS-CoV-2 infection
T42	1202-1222	DOID:0080600	denotes	SARS-CoV-2 infection
T82	1256-1281	MESH:D018376	denotes	cardiovascular conditions
T44	1314-1324	MESH:D015415	denotes	biomarkers
T80	1332-1340	HP:0033141	denotes	COVID-19
T79	1332-1340	MESH:D000086382	denotes	COVID-19
T45	1332-1340	DOID:0080600	denotes	COVID-19
T48	1356-1361	HP:0011009	denotes	acute
T85	1362-1391	HP:0030872	denotes	cardiovascular decompensation
T49	1411-1420	MESH:D009026	denotes	mortality
T84	1424-1444	MESH:D000086382	denotes	SARS-CoV-2 infection
T83	1424-1444	HP:0033141	denotes	SARS-CoV-2 infection
T51	1424-1444	DOID:0080600	denotes	SARS-CoV-2 infection
T53	1464-1472	MESH:D012106	denotes	research
