# Id	Subject	Object	Predicate	Lexical cue
T58	0-8	MESH:D000086382	denotes	COVID-19
T52	0-8	HP:0033141	denotes	COVID-19
T1	0-8	DOID:0080600	denotes	COVID-19
T3	15-20	HP:0011009	denotes	acute
T64	21-61	MESH:D045169	denotes	infectious respiratory distress syndrome
T4	32-52	HP:0002098	denotes	respiratory distress
T6	53-61	MESH:D013577	denotes	syndrome
T63	63-67	MESH:D045169	denotes	ARDS
T7	63-67	DOID:11394	denotes	ARDS
T9	89-112	MESH:D017934	denotes	coronavirus SARS-CoV-2.
T11	117-124	MESH:D004194	denotes	disease
T10	117-124	DOID:4	denotes	disease
T12	161-165	HP:0012825	denotes	mild
T13	169-175	HP:0012828	denotes	severe
T14	258-263	DOID:0080327	denotes	March
T59	270-278	MESH:D000086382	denotes	COVID-19
T53	270-278	HP:0033141	denotes	COVID-19
T15	270-278	DOID:0080600	denotes	COVID-19
T17	385-400	MESH:D019021	denotes	natural history
T20	408-415	MESH:D004194	denotes	disease
T19	408-415	DOID:4	denotes	disease
T21	493-511	MESH:D002985	denotes	clinical protocols
T23	555-562	MESH:D004194	denotes	disease
T22	555-562	DOID:4	denotes	disease
T24	620-625	HP:0011009	denotes	acute
T25	630-637	HP:0011010	denotes	chronic
T51	713-726	MESH:D008603	denotes	mental health
T60	816-824	MESH:D000086382	denotes	COVID-19
T54	816-824	HP:0033141	denotes	COVID-19
T27	816-824	DOID:0080600	denotes	COVID-19
T29	904-911	HP:0011010	denotes	chronic
T61	1305-1310	MESH:D000086382	denotes	COVID
T55	1305-1310	HP:0033141	denotes	COVID
T39	1305-1313	DOID:0080600	denotes	COVID-19
T41	1379-1394	MESH:D019021	denotes	natural history
T44	1402-1409	MESH:D004194	denotes	disease
T43	1402-1409	DOID:4	denotes	disease
T46	1481-1488	MESH:D004194	denotes	disease
T45	1481-1488	DOID:4	denotes	disease
T62	1545-1553	MESH:D000086382	denotes	COVID-19
T57	1545-1553	HP:0033141	denotes	COVID-19
T47	1545-1553	DOID:0080600	denotes	COVID-19
T50	1640-1647	MESH:D004194	denotes	disease
T49	1640-1647	DOID:4	denotes	disease
