# Term	Identifier
Coronavirus disease 2019	MESH:D000086382
Coronavirus disease 2019	DOID:0080600
COVID-19	MESH:D000086382
COVID-19	DOID:0080600
angiotensin-converting enzyme 2 (ACE2) receptor	MESH:D011945
Cardiovascular comorbidities	HP:0001626
myocarditis	MESH:D009205
myocarditis	HP:0012819
myocarditis	DOID:820
ACE inhibitors	CHEBI:35457
angiotensin receptor blockers	CHEBI:61016
hypertension	MESH:D006973
hypertension	HP:0000822
hypertension	DOID:10763
heart failure	MESH:D006333
heart failure	HP:0001635
heart	MESH:D006321
research	MESH:D012106
SARS-CoV-2	MESH:D000086382
SARS-CoV-2	DOID:0080600
March	DOID:0080327
Incidence	MESH:D015994
mortality	MESH:D009026
risk	MESH:D012306
incidence	MESH:D015994
overall	MESH:D016424
death	MESH:D003643
Covid-19	MESH:D000086382
Covid-19	DOID:0080600
Brazil	MESH:D001938
probability	MESH:D011336
coronavirus	MESH:D017934
social distancing	MESH:D000085762
hand hygiene	MESH:D063373
alcohol	CHEBI:30879
alcohol	CHEBI:16236
water	MESH:D014867
water	CHEBI:15377
disease	MESH:D004194
disease	DOID:4
virus SARS-CoV-2	MESH:D000086402
World Health Organization	MESH:D014944
pandemic	MESH:D058873
prevalence	MESH:D015995
population	MESH:D011153
severe	HP:0012828
asymptomatic infections	MESH:D058345
serological surveys	MESH:D000087124
samples	MESH:D012494
cities	MESH:D002947
Tests	MESH:D000087124
tests	MESH:D000087124
rapid test for the detection of antibodies	MESH:D000087124
test	MESH:D000087124
safety	MESH:D012449
review	MESH:D016454
legislation	MESH:D020485
quarantining	MESH:D011790
epidemiological monitoring	MESH:D062665
role	MESH:D012380
role	CHEBI:50906
severity	HP:0012824
patients	MESH:D010361
COVID-19	HP:0033141
COVID-19	MESH:D000086742
anti-inflammatory therapies	CHEBI:67079
uncontrolled inflammatory cascade	  GO:0002526
tocilizumab	CHEBI:64360
interleukin-6,	MESH:D015850
randomized controlled trial	MESH:D016449
moderate	HP:0012826
C reactive protein	MESH:D002097
ferritin	MESH:D005293
ferritin	CHEBI:82594
lactate	CHEBI:24996
inflammatory response	GO:0006954
masks	MESH:D008397
hand washing	MESH:D006235
aged	MESH:D000368
telephone	MESH:D013689
Social distancing	MESH:D000085762
medicine	MESH:D008511
medicine	CHEBI:23888
food	MESH:D005502
food	CHEBI:33290
work	MESH:D014937
exercise	MESH:D015444
family	MESH:D005190
friends	MESH:D033062
Women	MESH:D014930
men	MESH:D008571
Men	MESH:D008571
women	MESH:D014930
odds ratio	MESH:D016017
education	MESH:D004493
social distancing,	MESH:D000085762
syndrome	MESH:D013577
syndrome	DOID:225
time	MESH:D013995
onset of symptoms	HP:0003674
records	MESH:D011996
symptom onset	HP:0003674
rapid antigen tests	MESH:D000086742
antigen	CHEBI:59132
test for COVID-19	MESH:D000086742
foundations	MESH:D005582
capitalism	MESH:D030861
SARS-CoV-2	MESH:D000086402
movement	MESH:D009068
severe acute respiratory illness	MESH:D045169
acute	HP:0011009
SARI	MESH:D045169
Influenza A	MESH:D009980
Influenza	DOID:8469
B	MESH:D009981
viruses	MESH:D014780
test for the SARS-CoV-2	MESH:D000086742
surveillance protocol	MESH:D062665
SARI	MESH:D004812
laboratory tests	MESH:D000086742
virus	MESH:D014780
surveillance	MESH:D062665
testing for SARS-CoV-2	MESH:D000086742
novel coronavirus disease 2019	MESH:D000086382
novel coronavirus disease 2019	DOID:0080600
risk factors	MESH:D012307
cardiovascular complications	MESH:D018376
cardiovascular complications	HP:0001626
inflammatory	HP:0012649
thrombotic	HP:0001977
infection	DOID:934
cardiovascular system	MESH:D002319
Geographic Information Systems	MESH:D040362
intensive care	MESH:D003422
beds	MESH:D001513
Intensive care	MESH:D003422
far east	MESH:D005202
infectious respiratory distress syndrome	MESH:D045169
respiratory distress	HP:0002098
ARDS	MESH:D045169
ARDS	DOID:11394
