# Id	Subject	Object	Predicate	Lexical cue
T0	84-88	DOID_0111084	denotes	face
T1	125-129	CHEBI_75830	denotes	home
T2	318-323	GO_0007568	denotes	Aging
T3	383-387	HP_0012835	denotes	left
T4	388-392	CHEBI_75830	denotes	home
T5	464-468	CHEBI_75830	denotes	home
T6	505-509	HP_0012835	denotes	left
T7	582-586	HP_0012835	denotes	left
T8	627-631	CHEBI_75830	denotes	home
T9	644-652	CHEBI_23888	denotes	medicine
T10	656-660	CHEBI_33290	denotes	food
T11	808-812	HP_0012835	denotes	left
T12	813-817	CHEBI_75830	denotes	home
T13	837-841	DOID_0111084	denotes	face
T14	895-899	HP_0012835	denotes	left
T15	900-904	CHEBI_75830	denotes	home
T16	930-934	HP_0012835	denotes	left
T17	935-939	CHEBI_75830	denotes	home
T18	984-988	HP_0012835	denotes	left
T19	989-993	CHEBI_75830	denotes	home
T20	1170-1174	HP_0012835	denotes	left
T21	1175-1179	CHEBI_75830	denotes	home
T22	1365-1369	DOID_0111084	denotes	face
R0	T2	T3	no_relation	Aging,left
R1	T2	T6	no_relation	Aging,left
R2	T2	T7	no_relation	Aging,left
R3	T2	T11	no_relation	Aging,left
R4	T2	T14	no_relation	Aging,left
R5	T2	T16	no_relation	Aging,left
R6	T2	T18	no_relation	Aging,left
R7	T2	T20	no_relation	Aging,left
