# Id	Subject	Object	Predicate	Lexical cue
T7	61-69	HP_0033141	denotes	COVID-19
T0	61-69	DOID_0080600	denotes	COVID-19
T8	151-159	HP_0033141	denotes	COVID-19
T1	151-159	DOID_0080600	denotes	COVID-19
T2	261-269	HP_0002664	denotes	oncology
T4	1142-1150	HP_0002664	denotes	oncology
T11	1276-1284	DOID_0080600	denotes	COVID-19
T10	1276-1284	HP_0033141	denotes	COVID-19
T5	1389-1397	HP_0002664	denotes	oncology
T9	1824-1832	HP_0033141	denotes	COVID-19
T6	1824-1832	DOID_0080600	denotes	COVID-19
R1	T11	T5	negative	COVID-19,oncology
R2	T10	T5	negative	COVID-19,oncology
