# Term	Identifier
COVID-19	DOID_0080600
severe	HP_0012828
medicine	CHEBI_23888
food	CHEBI_33290
COVID-19	HP_0033141
acute	HP_0011009
respiratory distress	HP_0002098
ARDS	DOID_11394
disease	DOID_4
mild	HP_0012825
chronic	HP_0011010
-	HP_0033141
syndrome	DOID_225
onset of symptoms	HP_0003674
symptom onset	HP_0003674
antigen	CHEBI_59132
respiratory illness	HP_0002795
SARI	HP_0002795
Influenza	DOID_8469
COVID-19	HP_0002795
novel coronavirus disease 2019	DOID_0080600
cardiovascular complications	HP_0001626
inflammatory	HP_0012649
thrombotic	HP_0001977
infection	DOID_0080600
Coronavirus disease 2019	DOID_0080600
Cardiovascular comorbidities	HP_0001626
myocarditis	DOID_820
myocarditis	HP_0012819
ACE inhibitors	CHEBI_35457
angiotensin receptor blockers	CHEBI_61016
hypertension	HP_0000822
hypertension	DOID_10763
heart failure	HP_0001635
SARS-CoV-2 cases	DOID_0080600
Covid-19	DOID_0080600
alcohol	CHEBI_30879
alcohol	CHEBI_16236
water	CHEBI_15377
frequent	HP_0040282
severe acute respiratory syndrome coronavirus 2	HP_0033141
severe acute respiratory syndrome coronavirus 2	DOID_0080600
SARS-CoV-2	HP_0033141
SARS-CoV-2	DOID_0080600
fever	HP_0001945
coughing	HP_0012735
dyspnea	HP_0002094
gastrointestinal symptoms	HP_0012719
taste	GO_0050909
smell	GO_0007608
RNA	CHEBI_33697
respiratory disease	HP_0002795
respiratory disease	DOID_1579
pulmonary disease	HP_0002795
pulmonary disease	DOID_850
cardiovascular damage	HP_0001626
myocardial injury	HP_0001637
natriuretic peptide	CHEBI_80233
creatine	CHEBI_16919
SARS-CoV-2 infection	HP_0033141
SARS-CoV-2 infection	DOID_0080600
cardiovascular decompensation	HP_0030872
role	CHEBI_50906
severity	HP_0012824
anti-inflammatory therapies	CHEBI_67079
uncontrolled inflammatory cascade	GO_0002526
tocilizumab	CHEBI_64360
moderate	HP_0012826
ferritin	CHEBI_82594
lactate	CHEBI_24996
central	HP_0030645
inflammatory response	GO_0006954
oncology	HP_0002664
coronavirus disease 2019	DOID_0080600
coronavirus disease 2019	HP_0033141
viral pneumonia	DOID_10533
pneumonia	HP_0002090
acute respiratory distress syndrome	DOID_11394
corticosteroids	CHEBI_50858
dexamethasone	CHEBI_41879
Severe Acute Respiratory Syndrome	DOID_2945
Severe	HP_0012828
Acute	HP_0011009
SARS	DOID_2945
COVID	HP_0033141
affected	HP_0032320
sleep	GO_0030431
