# Id	Subject	Object	Predicate	Lexical cue
T0	60-68	DOID_0080600	denotes	COVID-19
T3	146-156	DOID_0080600	denotes	SARS-CoV-2
T7	157-162	DOID_0080600	denotes	cases
T4	167-173	DOID_0080600	denotes	deaths
T5	224-233	DOID_0080600	denotes	mortality
T6	235-244	DOID_0080600	denotes	lethality
T1	372-380	DOID_0080600	denotes	COVID-19
T2	739-747	DOID_0080600	denotes	COVID-19
R1	T3	T0	effect	SARS-CoV-2,COVID-19
R2	T4	T5	effect	deaths,mortality
R3	T4	T6	effect	deaths,lethality
R4	T7	T5	effect	cases,mortality
R5	T7	T6	effect	cases,lethality
