# Id	Subject	Object	Predicate	Lexical cue
T1	33-41	MESH:D012106	denotes	pesquisa
T2	66-72	MESH:D001938	denotes	Brasil
T3	94-111	MESH:D012934	denotes	isolamento social
T4	376-384	MESH:D012984	denotes	software
T5	446-453	MESH:D009272	denotes	pessoas
T6	464-476	MESH:D004522	denotes	escolaridade
T7	479-484	MESH:D007182	denotes	renda
T8	497-504	MESH:D009272	denotes	pessoas
T9	515-520	MESH:D007182	denotes	renda
T10	523-535	MESH:D004522	denotes	escolaridade
T11	613-619	MESH:D010825	denotes	física
T12	696-700	MESH:D012890	denotes	sono
T13	708-715	MESH:D009272	denotes	Pessoas
T14	818-823	MESH:D013995	denotes	tempo
T15	850-857	MESH:D009272	denotes	pessoas
T16	920-937	MESH:D012934	denotes	isolamento social
T17	1012-1019	MESH:D009272	denotes	pessoas
T18	1030-1047	MESH:D012934	denotes	isolamento social
T19	1103-1108	MESH:D007182	denotes	renda
T20	1110-1122	MESH:D004522	denotes	escolaridade
T21	1246-1251	MESH:D013995	denotes	tempo
