# Id	Subject	Object	Predicate	Lexical cue
T2	39-72	MESH:D045169	denotes	síndrome respiratória aguda grave
T1	39-47	MESH:D013577	denotes	síndrome
T3	211-217	MESH:D004194	denotes	doença
T5	269-284	MESH:D011024	denotes	pneumonia viral
T4	269-278	MESH:D011014	denotes	pneumonia
T6	351-360	MESH:D010361	denotes	pacientes
T7	403-411	MESH:D013577	denotes	síndrome
T8	487-492	MESH:D010209	denotes	papel
T9	497-513	MESH:D000305	denotes	corticosteroides
T10	517-525	MESH:D013577	denotes	síndrome
T11	715-727	MESH:D003907	denotes	dexametasona
T12	768-776	MESH:D019563	denotes	mecânica
T13	813-822	MESH:D010361	denotes	pacientes
T14	863-871	MESH:D013577	denotes	síndrome
T15	960-966	MESH:D020474	denotes	ensaio
T16	1072-1081	MESH:D010361	denotes	pacientes
T17	1146-1154	MESH:D013577	denotes	síndrome
T18	1274-1283	MESH:D010361	denotes	pacientes
T19	1356-1368	MESH:D003907	denotes	dexametasona
T20	1414-1426	MESH:D003907	denotes	dexametasona
T21	1448-1457	MESH:D010361	denotes	pacientes
T22	1489-1501	MESH:D003907	denotes	dexametasona
T23	1567-1579	MESH:D003907	denotes	dexametasona
T24	1765-1773	MESH:D019563	denotes	mecânica
T25	1866-1874	MESH:D019563	denotes	mecânica
T26	1926-1937	MESH:D009026	denotes	mortalidade
T27	2084-2092	MESH:D019563	denotes	mecânica
