# Id	Subject	Object	Predicate	Lexical cue
T2	17-50	MESH:D045169	denotes	síndrome respiratória aguda grave
T1	17-25	MESH:D013577	denotes	síndrome
T3	97-103	MESH:D004194	denotes	doença
T5	367-383	MESH:D019021	denotes	história natural
T4	367-375	MESH:D006664	denotes	história
T6	387-393	MESH:D004194	denotes	doença
T7	453-472	MESH:D002985	denotes	protocolos clínicos
T8	546-552	MESH:D004194	denotes	doença
T10	666-678	MESH:D008603	denotes	saúde mental
T9	666-671	MESH:D006262	denotes	saúde
T11	939-944	MESH:D006262	denotes	Saúde
T12	1019-1023	MESH:D019369	denotes	vida
T13	1037-1042	MESH:D003643	denotes	morte
T14	1105-1116	MESH:D009026	denotes	mortalidade
T15	1142-1146	MESH:D019369	denotes	vida
T16	1168-1177	MESH:D009017	denotes	morbidade
T18	1406-1422	MESH:D019021	denotes	história natural
T17	1406-1414	MESH:D006664	denotes	história
T19	1426-1432	MESH:D004194	denotes	doença
T20	1498-1507	MESH:D009017	denotes	morbidade
T21	1659-1665	MESH:D004194	denotes	doença
