# Term	Identifier
Saúde	MESH:D006262
saúde	MESH:D006262
pessoas	MESH:D009272
elementos	MESH:D004602
capitalismo	MESH:D030861
leitos	MESH:D001513
doença	MESH:D004194
prevalência	MESH:D015995
máscaras	MESH:D008397
mãos	MESH:D006225
alimentos	MESH:D005502
amigos	MESH:D033062
mulheres	MESH:D014930
homens	MESH:D008571
escolaridade	MESH:D004522
síndrome respiratória aguda grave	MESH:D045169
síndrome	MESH:D013577
história natural	MESH:D019021
história	MESH:D006664
protocolos clínicos	MESH:D002985
saúde mental	MESH:D008603
vida	MESH:D019369
morte	MESH:D003643
mortalidade	MESH:D009026
morbidade	MESH:D009017
Brasil	MESH:D001938
vírus	MESH:D014780
tempo	MESH:D013995
incidência	MESH:D015994
internet	MESH:D020407
pesquisa	MESH:D012106
probabilidade	MESH:D011336
coronavirus	MESH:D017934
isolamento social	MESH:D012934
software	MESH:D012984
renda	MESH:D007182
física	MESH:D010825
sono	MESH:D012890
Pessoas	MESH:D009272
pesquisadores	MESH:D012108
saúde pública	MESH:D011634
revisão	MESH:D016454
quarentena	MESH:D011790
políticas	MESH:D057766
papel	MESH:D010209
pacientes	MESH:D010361
ensaio	MESH:D020474
proteína C-reativa	MESH:D002097
terapêutica	MESH:D013812
sexo	MESH:D012723
feminino	MESH:D005260
risco	MESH:D012306
sistema cardiovascular	MESH:D002319
miocardite	MESH:D009205
hipertensão	MESH:D006973
insuficiência cardíaca	MESH:D006333
Pesquisa	MESH:D012106
objetivos	MESH:D006040
amostragem	MESH:D012494
cidades	MESH:D002947
coleta de dados	MESH:D003625
vírus de RNA	MESH:D012328
RNA	MESH:D012313
biomarcadores	MESH:D015415
sobreviventes	MESH:D017741
intervalos de confiança	MESH:D016001
confiança	MESH:D035502
estudos retrospectivos	MESH:D012189
troponina	MESH:D014336
creatina	MESH:D003401
registros	MESH:D011996
cardiologia	MESH:D002309
oncologia	MESH:D008495
corte	MESH:D003380
comércio	MESH:D003132
pressão	MESH:D011312
cateterismo	MESH:D002404
angioplastia	MESH:D017130
radioterapia	MESH:D011878
prognóstico	MESH:D011379
pneumonia viral	MESH:D011024
pneumonia	MESH:D011014
corticosteroides	MESH:D000305
dexametasona	MESH:D003907
mecânica	MESH:D019563
sinais e sintomas	MESH:D012816
literatura	MESH:D008091
tosse	MESH:D003371
dispneia	MESH:D004417
olfato	MESH:D012903
paladar	MESH:D013649
serviços de saúde	MESH:D006296
