# Id	Subject	Object	Predicate	Lexical cue
T1	36-47	MESH:D015995	denotes	prevalência
T2	84-92	MESH:D008397	denotes	máscaras
T3	115-119	MESH:D006225	denotes	mãos
T4	345-350	MESH:D006262	denotes	Saúde
T5	708-717	MESH:D005502	denotes	alimentos
T6	784-789	MESH:D006262	denotes	saúde
T7	849-855	MESH:D033062	denotes	amigos
T8	913-921	MESH:D008397	denotes	máscaras
T9	961-965	MESH:D006225	denotes	mãos
T10	970-978	MESH:D014930	denotes	mulheres
T11	1007-1013	MESH:D008571	denotes	homens
T12	1120-1125	MESH:D006262	denotes	saúde
T13	1130-1136	MESH:D008571	denotes	homens
T14	1173-1185	MESH:D004522	denotes	escolaridade
T15	1499-1507	MESH:D008397	denotes	máscaras
T16	1527-1531	MESH:D006225	denotes	mãos
