# Term	Identifier
SARS-CoV-2	MESH:D000086402
vírus de RNA	MESH:D012328
vírus	MESH:D014780
RNA	MESH:D012313
doença	MESH:D004194
COVID-19	MESH:D000086382
pacientes	MESH:D010361
biomarcadores	MESH:D015415
óbito	MESH:D003643
sobreviventes	MESH:D017741
risco	MESH:D012306
intervalos de confiança	MESH:D016001
confiança	MESH:D035502
estudos retrospectivos	MESH:D012189
troponina	MESH:D014336
creatina	MESH:D003401
mortalidade	MESH:D009026
papel	MESH:D010209
ensaio	MESH:D020474
COVID-19	MESH:D018352
proteína C-reativa	MESH:D002097
Brasil	MESH:D001938
terapêutica	MESH:D013812
cardiologia	MESH:D002309
oncologia	MESH:D008495
corte	MESH:D003380
comércio	MESH:D003132
pressão	MESH:D011312
eletrocardiograma	MESH:D018352
cateterismo cardíaco	MESH:D006328
cateterismo	MESH:D002404
angioplastia	MESH:D017130
quimioterapia	MESH:D004358
radioterapia	MESH:D011878
prognóstico	MESH:D011379
pandemia	MESH:D058873
síndrome respiratória aguda grave	MESH:D045169
síndrome	MESH:D013577
pneumonia viral	MESH:D011024
pneumonia	MESH:D011014
síndrome do desconforto respiratório agudo	MESH:D012128
corticosteroides	MESH:D000305
dexametasona	MESH:D003907
mecânica	MESH:D019563
prevalência	MESH:D015995
máscaras	MESH:D008397
mãos	MESH:D006225
Saúde	MESH:D006262
alimentos	MESH:D005502
saúde	MESH:D006262
amigos	MESH:D033062
mulheres	MESH:D014930
homens	MESH:D008571
escolaridade	MESH:D004522
óbitos	MESH:D003643
história natural	MESH:D019021
história	MESH:D006664
protocolos clínicos	MESH:D002985
saúde mental	MESH:D008603
vida	MESH:D019369
morte	MESH:D003643
morbidade	MESH:D009017
sexo	MESH:D012723
feminino	MESH:D005260
tempo	MESH:D013995
registros	MESH:D011996
Influenza A	MESH:D005585
Influenza	MESH:D007251
infecção	MESH:D007239
sistema cardiovascular	MESH:D002319
miocardite	MESH:D009205
hipertensão	MESH:D006973
insuficiência cardíaca	MESH:D006333
Pesquisa	MESH:D012106
sinais e sintomas	MESH:D012816
literatura	MESH:D008091
revisão	MESH:D016454
tosse	MESH:D003371
dispneia	MESH:D004417
olfato	MESH:D012903
paladar	MESH:D013649
serviços de saúde	MESH:D006296
pessoas	MESH:D009272
elementos	MESH:D004602
capitalismo	MESH:D030861
leitos	MESH:D001513
pesquisadores	MESH:D012108
saúde pública	MESH:D011634
quarentena	MESH:D011790
políticas	MESH:D057766
pesquisa	MESH:D012106
isolamento social	MESH:D012934
software	MESH:D012984
renda	MESH:D007182
física	MESH:D010825
sono	MESH:D012890
Pessoas	MESH:D009272
objetivos	MESH:D006040
amostragem	MESH:D012494
cidades	MESH:D002947
coleta de dados	MESH:D003625
internet	MESH:D020407
Covid-19	MESH:D018352
probabilidade	MESH:D011336
coronavirus	MESH:D017934
incidência	MESH:D015994
