# Id	Subject	Object	Predicate	Lexical cue
T8	14-22	MESH:D000086382	denotes	COVID-19
T1	37-50	MESH:D012108	denotes	pesquisadores
T3	85-98	MESH:D011634	denotes	saúde pública
T5	168-175	MESH:D016454	denotes	revisão
T12	251-272	MESH:D000085762	denotes	distanciamento social
T9	288-296	MESH:D000086382	denotes	COVID-19
T13	377-398	MESH:D000085762	denotes	distanciamento social
T10	402-410	MESH:D000086382	denotes	COVID-19
T6	699-709	MESH:D011790	denotes	quarentena
T11	891-899	MESH:D000086382	denotes	COVID-19
T14	983-1004	MESH:D062665	denotes	sistema de vigilância
