# Term	Identifier
síndrome respiratória aguda grave	MESH:D045169
SRAG	MESH:D045169
Brasil	MESH:D001938
vírus Influenza A	MESH:D009980
B	MESH:D009981
vírus	MESH:D014780
COVID-19	MESH:D000086382
teste para o vírus SARS-CoV-2	MESH:D000086742
protocolo de vigilância	MESH:D062665
testes laboratoriais	MESH:D000086742
tempo	MESH:D013995
doença	MESH:D004194
vigilância	MESH:D062665
testagem para SARS-CoV-2	MESH:D000086742
pandemia	MESH:D058873
doença causada pelo novo coronavírus	MESH:D000086382
paciente	MESH:D010361
fator de risco	MESH:D012307
complicações cardiovasculares	MESH:D018376
pacientes	MESH:D010361
sistema cardiovascular	MESH:D002319
doença de coronavírus 2019	MESH:D000086382
receptor da enzima conversora de angiotensina 2 (ECA2)	MESH:D011945
miocardite	MESH:D009205
hipertensão	MESH:D006973
insuficiência cardíaca	MESH:D006333
Pesquisa	MESH:D012106
SARS-CoV-2	MESH:D000086382
incidência	MESH:D015994
mortalidade	MESH:D009026
risco	MESH:D012306
morte	MESH:D003643
leitos	MESH:D001513
internet	MESH:D020407
Covid-19	MESH:D000086382
pesquisa	MESH:D012106
probabilidade	MESH:D011336
coronavirus	MESH:D017934
máscaras	MESH:D008397
distanciamento social	MESH:D000085762
higienização das mãos	MESH:D063373
água	MESH:D014867
vírus SARS-CoV-2	MESH:D000086402
Organização Mundial da Saúde	MESH:D014944
prevalência	MESH:D015995
pessoas	MESH:D009272
SARS-CoV-2	MESH:D000086402
inquéritos sorológicos	MESH:D000087124
amostragem	MESH:D012494
probabilística	MESH:D011336
cidades	MESH:D002947
testes	MESH:D000087124
testes rápidos para detecção de anticorpos	MESH:D000087124
coleta de dados	MESH:D003625
pesquisadores	MESH:D012108
saúde pública	MESH:D011634
revisão	MESH:D016454
quarentena	MESH:D011790
sistema de vigilância	MESH:D062665
terapia intensiva	MESH:D003422
extremo leste	MESH:D005202
COVID19	MESH:D000086382
COVID-19	MESH:D000086742
ensaio	MESH:D020474
interleucina 6	MESH:D015850
estudo aberto multicêntrico, randomizado e controlado	MESH:D016449
proteína C-reativa	MESH:D002097
ferritina	MESH:D005293
síndrome	MESH:D013577
registros	MESH:D011996
sexo	MESH:D012723
feminino	MESH:D005260
teste rápido-antígeno	MESH:D000086742
testes para COVID-19	MESH:D000086742
coronavírus	MESH:D017934
história natural	MESH:D019021
protocolos clínicos	MESH:D002985
saúde mental	MESH:D008603
morbidade	MESH:D009017
higienização das mãos	MESH:D006235
Saúde	MESH:D006262
alimentos	MESH:D005502
saúde	MESH:D006262
fazer exercícios	MESH:D015444
familiares	MESH:D005190
amigos	MESH:D033062
higienizaram as mãos	MESH:D006235
mulheres	MESH:D014930
homens	MESH:D008571
odds ratio	MESH:D016017
escolaridade	MESH:D004522
prevalências	MESH:D015995
cardiologia	MESH:D002309
oncologia	MESH:D008495
comércio	MESH:D003132
consultas cardiológicas	MESH:D002309
pressão arterial	MESH:D001794
eletrocardiograma	MESH:D004562
cateterismo	MESH:D002404
angioplastia	MESH:D017130
radioterapia	MESH:D011878
quimioterapia	MESH:D017024
prognóstico	MESH:D011379
elementos	MESH:D004602
capitalismo	MESH:D030861
sinais e sintomas	MESH:D012816
síndrome respiratória aguda grave coronavírus 2	MESH:D000086382
literatura	MESH:D008091
febre	MESH:D005334
tosse	MESH:D003371
dispneia	MESH:D004417
olfato	MESH:D012903
paladar	MESH:D013649
serviços de saúde	MESH:D006296
prevenção	MESH:D011322
tratamento.	MESH:D013812
vírus de RNA	MESH:D012328
doença respiratória aguda grave	MESH:D045169
biomarcadores	MESH:D015415
sobreviventes	MESH:D017741
intervalos de confiança	MESH:D016001
estudos retrospectivos	MESH:D012189
troponina cardíaca I	MESH:D019210
creatina	MESH:D003401
complicações cardíacas	MESH:D018376
infecção por SARS-CoV-2	MESH:D000086382
condições cardiovasculares	MESH:D018376
isolamento social	MESH:D012934
renda	MESH:D007182
atividade física	MESH:D015444
sono	MESH:D012890
Pessoas	MESH:D009272
COVID-19	MESH:D045169
letalidade hospitalar,	MESH:D017052
síndrome respiratória aguda grave 2	MESH:D000086382
infecção pelo SARS-CoV-2	MESH:D000086382
doença pelo coronavírus 2019	MESH:D000086382
pneumonia viral	MESH:D011024
pneumonia	MESH:D011014
papel	MESH:D010209
corticosteroides	MESH:D000305
dexametasona	MESH:D003907
mecânica	MESH:D019563
síndrome do desconforto respiratório agudo moderada ou grave,	MESH:D045169
unidade de terapia intensiva	MESH:D003422
ventilação	MESH:D014691
